City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Qinzhou,CN,80.96,broken clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
2,Ponta Do Sol,PT,79.43,light rain,32.6667,-17.1,Hotel do Campo
8,Kapaa,US,77.32,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Cabo San Lucas,MX,85.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
12,Fort-Shevchenko,KZ,75.02,clear sky,44.5086,50.263,Oasis hotel Bautino
28,Bethel,US,76.66,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
33,Muros,ES,86.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
36,Hithadhoo,MV,82.62,overcast clouds,-0.6,73.0833,Scoop Guest House
53,Miyazu,JP,79.5,overcast clouds,35.5333,135.1833,Seikiro
56,Butaritari,KI,81.75,light rain,3.0707,172.7902,Isles Sunset Lodge
57,Tarnos,FR,79.68,clear sky,43.5417,-1.4628,"The Originals City, Hôtel Le Lodge, Bayonne Nord (Inter-Hotel)"
59,Kattivakkam,IN,86.09,overcast clouds,13.2167,80.3167,Euronova Freezer
65,Hilo,US,77.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
72,Georgetown,MY,82.35,light rain,5.4112,100.3354,Cititel Penang
73,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
77,Akyab,MM,81.27,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
82,Faanui,PF,78.42,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
84,Tevaitoa,PF,78.78,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
85,Bengkulu,ID,75.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
88,Buenavista,PH,77.07,overcast clouds,8.9769,125.4089,Room For Rent
89,Sorong,ID,78.75,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
91,Jand,PK,88.0,clear sky,33.4299,72.0193,Mohalla Takia
92,Kavieng,PG,81.16,light rain,-2.5744,150.7967,Nusa Island Retreat
97,Victoria,HK,86.38,scattered clouds,22.2855,114.1577,Mini Central
98,Salalah,OM,80.69,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
99,Kudahuvadhoo,MV,82.26,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
102,Saint George,US,77.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
114,Atuona,PF,76.48,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
117,Letlhakane,BW,83.3,clear sky,-21.4167,25.5833,Motswedi Hotel
118,Banda Aceh,ID,78.67,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
120,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
125,Coahuayana,MX,76.3,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
126,Lucea,JM,87.66,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
127,Ribeira Grande,PT,81.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
131,Vanimo,PG,77.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
138,Peniche,PT,85.08,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
139,Sur,OM,84.29,clear sky,22.5667,59.5289,Sur Plaza Hotel
140,Salinopolis,BR,83.23,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
142,Carbonia,IT,81.55,few clouds,39.1672,8.5222,Lu 'Hotel
144,Cullman,US,79.45,broken clouds,34.1748,-86.8436,Best Western Fairwinds Inn
146,Halvad,IN,84.6,clear sky,23.0167,71.1833,"""BHAVANI KRUPA"" Jagdishbhai H. Kariya"
147,Luruaco,CO,83.82,broken clouds,10.6092,-75.1431,Hospedaje Casa del Sol
150,Sao Filipe,CV,78.12,overcast clouds,14.8961,-24.4956,Hotel Xaguate
152,San Pedro,PH,79.36,light intensity shower rain,14.35,121.0167,Palines Apartment and Guesthouse
157,Kieta,PG,77.32,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
158,Phra Phutthabat,TH,76.53,overcast clouds,14.7253,100.7954,Pruksa Siri View
159,Jamestown,US,78.03,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
162,Macara,EC,84.88,clear sky,-4.3833,-79.95,Hostal Macará
171,Poso,ID,77.29,broken clouds,-1.3959,120.7524,Hotel 77 Poso
172,Lexington,US,78.94,broken clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
174,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
178,Tarazona,ES,78.62,broken clouds,41.9,-1.7333,La Merced de la Concordia
180,Vila Franca Do Campo,PT,77.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
185,Haslett,US,76.51,clear sky,42.747,-84.4011,Cottage Inn Pizza Okemos
186,Ajdabiya,LY,84.78,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
190,Teixoso,PT,83.68,broken clouds,40.3145,-7.4576,Casa Isabel Dias
196,Moyale,KE,76.96,overcast clouds,3.5167,39.0584,La Tahzan Guest House
200,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
213,Hobyo,SO,77.32,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
216,Perivolia,GR,85.12,few clouds,35.4833,23.9833,Civitel Akali Hotel
219,Beldanga,IN,84.78,broken clouds,23.9333,88.25,"Saha Computer, CSC Centre"
220,Safaga,EG,86.22,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
222,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
223,Samfya,ZM,80.11,overcast clouds,-11.3649,29.5565,Chita Lodge Samfya
224,Anandpur Sahib,IN,79.23,clear sky,31.25,76.5,Shivalik Lodge
225,Mandal,IN,79.23,clear sky,25.45,74.5667,Surpanch saab ki vatika
