,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,49.86,83,40,11.5,scattered clouds
1,Qinzhou,CN,21.95,108.6167,80.96,77,78,5.32,broken clouds
2,Ponta Do Sol,PT,32.6667,-17.1,79.43,84,39,3.78,light rain
3,Busselton,AU,-33.65,115.3333,54.16,79,97,8.72,overcast clouds
4,Saldanha,ZA,-33.0117,17.9442,62.65,69,12,21.92,few clouds
5,El Alto,PE,-4.2714,-81.2147,65.86,73,52,10.85,broken clouds
6,Ayan,RU,56.45,138.1667,48.58,97,100,7.25,moderate rain
7,Bluff,NZ,-46.6,168.3333,46.8,78,99,9.53,overcast clouds
8,Kapaa,US,22.0752,-159.319,77.32,85,75,8.05,broken clouds
9,Cabo San Lucas,MX,22.8909,-109.9124,85.51,70,75,3.0,broken clouds
10,La Ronge,CA,55.1001,-105.2842,53.82,93,100,6.91,mist
11,Chokurdakh,RU,70.6333,147.9167,34.74,69,83,6.2,broken clouds
12,Fort-Shevchenko,KZ,44.5086,50.263,75.02,54,2,13.96,clear sky
13,Tuatapere,NZ,-46.1333,167.6833,48.07,79,100,6.11,light rain
14,Longyearbyen,SJ,78.2186,15.6401,31.84,74,75,5.75,broken clouds
15,Nabire,ID,-3.3667,135.4833,74.97,92,95,2.53,overcast clouds
16,Sumbuya,SL,7.6467,-11.9611,73.65,97,100,3.56,light rain
17,Avarua,CK,-21.2078,-159.775,73.45,88,75,4.61,broken clouds
18,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,76,75,31.07,broken clouds
19,Tasiilaq,GL,65.6145,-37.6368,44.76,93,100,19.93,light rain
20,Torbay,CA,47.6666,-52.7314,60.76,63,75,28.77,broken clouds
21,Airai,TL,-8.9266,125.4092,60.03,60,42,2.57,scattered clouds
22,Mahebourg,MU,-20.4081,57.7,71.89,78,75,12.66,broken clouds
23,Yellowknife,CA,62.456,-114.3525,43.32,100,100,9.22,overcast clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,56,20,9.22,few clouds
25,Hermanus,ZA,-34.4187,19.2345,56.61,72,93,15.95,light rain
26,Iranshahr,IR,27.2025,60.6848,97.14,21,40,20.71,scattered clouds
27,Mataura,NZ,-46.1927,168.8643,46.47,79,96,4.27,overcast clouds
28,Bethel,US,41.3712,-73.414,76.66,70,0,11.5,clear sky
29,Parati,BR,-23.2178,-44.7131,71.49,61,35,4.88,scattered clouds
30,Viedma,AR,-40.8135,-62.9967,48.56,87,100,20.98,moderate rain
31,Rikitea,PF,-23.1203,-134.9692,71.55,63,65,17.67,broken clouds
32,Kichmengskiy Gorodok,RU,59.9816,45.7854,51.94,75,93,6.15,overcast clouds
33,Muros,ES,42.7762,-9.0603,86.09,37,100,4.21,overcast clouds
34,San Quintin,MX,30.4833,-115.95,67.03,78,3,9.93,clear sky
35,Port Alfred,ZA,-33.5906,26.891,60.19,89,100,3.0,overcast clouds
36,Hithadhoo,MV,-0.6,73.0833,82.62,72,89,6.08,overcast clouds
37,Teguldet,RU,57.3064,88.1667,45.55,76,17,1.7,few clouds
38,Sao Desiderio,BR,-12.3633,-44.9733,96.35,22,0,5.59,clear sky
39,Upernavik,GL,72.7868,-56.1549,38.71,74,97,7.61,overcast clouds
40,Bemidji,US,47.4736,-94.8803,62.56,89,100,9.22,overcast clouds
41,Carnarvon,AU,-24.8667,113.6333,66.33,63,12,20.51,few clouds
42,Kaitangata,NZ,-46.2817,169.8464,43.5,89,79,4.99,broken clouds
43,Lavrentiya,RU,65.5833,-171.0,38.07,94,100,14.2,overcast clouds
44,Assare,BR,-6.8744,-39.875,96.04,22,66,4.65,broken clouds
45,Ronnede,DK,55.2571,12.0212,53.6,70,86,9.48,overcast clouds
46,Ilulissat,GL,69.2167,-51.1,41.02,100,100,8.05,light rain
47,Qaanaaq,GL,77.484,-69.3632,26.73,57,0,7.56,clear sky
48,Tigil,RU,57.8,158.6667,34.95,85,7,3.78,clear sky
49,Macaubas,BR,-13.0194,-42.6986,92.21,27,2,4.7,clear sky
50,Kirkuk,IQ,35.4681,44.3922,95.99,10,0,4.18,clear sky
51,Punta Arenas,CL,-53.15,-70.9167,44.71,61,0,11.5,clear sky
52,Severo-Kurilsk,RU,50.6789,156.125,49.5,89,94,10.69,overcast clouds
53,Miyazu,JP,35.5333,135.1833,79.5,76,100,16.42,overcast clouds
54,Tilichiki,RU,60.4667,166.1,34.59,72,5,6.98,clear sky
55,Puerto Ayora,EC,-0.7393,-90.3518,73.36,86,54,5.01,broken clouds
56,Butaritari,KI,3.0707,172.7902,81.75,76,11,13.58,light rain
57,Tarnos,FR,43.5417,-1.4628,79.68,31,0,9.22,clear sky
58,Srednekolymsk,RU,67.45,153.6833,33.69,68,7,8.5,clear sky
59,Kattivakkam,IN,13.2167,80.3167,86.09,73,100,10.45,overcast clouds
60,Tenenkou,ML,14.4572,-4.9169,93.22,39,16,9.22,few clouds
61,Mar Del Plata,AR,-38.0023,-57.5575,60.82,91,0,10.36,clear sky
62,Kruisfontein,ZA,-34.0033,24.7314,56.88,88,100,10.56,light rain
63,Zapolyarnyy,RU,69.4154,30.8136,45.68,98,100,10.67,overcast clouds
64,Noumea,NC,-22.2763,166.4572,73.99,99,0,5.7,clear sky
65,Hilo,US,19.7297,-155.09,77.29,89,75,3.44,broken clouds
66,Ankang,CN,32.68,109.0172,71.8,93,100,2.48,overcast clouds
67,Isiro,CD,2.7739,27.616,69.6,96,96,1.9,light rain
68,Tiksi,RU,71.6872,128.8694,32.83,70,100,3.96,overcast clouds
69,Vaini,TO,-21.2,-175.2,71.76,88,75,9.22,broken clouds
70,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,87,75,11.5,broken clouds
71,Cap Malheureux,MU,-19.9842,57.6142,69.48,75,65,7.0,broken clouds
72,Georgetown,MY,5.4112,100.3354,82.35,77,20,2.3,light rain
73,Mersing,MY,2.4312,103.8405,76.91,88,40,2.3,scattered clouds
74,Narsaq,GL,60.9167,-46.05,59.22,53,93,7.54,light rain
75,Lebu,CL,-37.6167,-73.65,48.61,55,7,5.35,clear sky
76,Castro,BR,-24.7911,-50.0119,65.93,51,0,7.36,clear sky
77,Akyab,MM,20.15,92.9,81.27,85,99,14.79,overcast clouds
78,Pevek,RU,69.7008,170.3133,32.76,94,100,19.26,overcast clouds
79,Jardim,BR,-21.4803,-56.1381,92.46,24,0,9.37,clear sky
80,Cherskiy,RU,68.75,161.3,33.76,65,100,6.6,overcast clouds
81,Tessalit,ML,20.1986,1.0114,101.46,18,98,5.53,overcast clouds
